"rp","effect","Site","country","in_lab","Ntotal","B_or_W","design","or_stat_test","effect_type","effect_size","ntreatment","ncontrol","outcomes1_2","outcome_t1","outcome_c1","outcome_t2","outcome_c2","ml2_ncp_variance"
"ML1","Anchoring 1 - NYC","brasilia","BRA",1,73,"Between","control vs. treatment","Independent samples t-test","d",1.20450238528145,30,43,"mean _ SD",3206.56666666667,1446.66279069767,1545.31641516827,1371.73247999664,NA
"ML1","Anchoring 1 - NYC","charles","CZE",1,67,"Between","control vs. treatment","Independent samples t-test","d",0.948910870563738,32,35,"mean _ SD",2964.734375,1551.57142857143,1542.54493835504,1433.97005538745,NA
"ML1","Anchoring 1 - NYC","conncoll","USA",1,82,"Between","control vs. treatment","Independent samples t-test","d",1.99492782380842,49,33,"mean _ SD",3867.21428571429,1606.95454545455,1246.37400335934,1006.94818451935,NA
"ML1","Anchoring 1 - NYC","csun","USA",0,87,"Between","control vs. treatment","Independent samples t-test","d",1.47684357282507,50,37,"mean _ SD",3590.46,1823.45945945946,1281.66235660042,1104.72956958793,NA
"ML1","Anchoring 1 - NYC","help","MYS",1,73,"Between","control vs. treatment","Independent samples t-test","d",1.90416285896955,28,45,"mean _ SD",3667.17857142857,1119.84444444444,1409.20091760915,1262.30584385653,NA
"ML1","Anchoring 1 - NYC","ithaca","USA",1,71,"Between","control vs. treatment","Independent samples t-test","d",1.15742137505764,34,37,"mean _ SD",3269.35294117647,1824.82432432432,1335.39503024733,1154.1299646163,NA
"ML1","Anchoring 1 - NYC","jmu","USA",0,148,"Between","control vs. treatment","Independent samples t-test","d",1.02263723292412,97,51,"mean _ SD",3444.05154639175,2132.82352941176,1292.34208917,1271.98208644434,NA
"ML1","Anchoring 1 - NYC","ku","TUR",0,66,"Between","control vs. treatment","Independent samples t-test","d",1.12540785229164,33,33,"mean _ SD",3307.07575757576,1615.84848484848,1668.84215626252,1315.89936263217,NA
"ML1","Anchoring 1 - NYC","laurier","CAN",1,67,"Between","control vs. treatment","Independent samples t-test","d",1.94876024054014,37,30,"mean _ SD",3646.01351351351,1131.56666666667,1333.83982300103,1245.19780130219,NA
"ML1","Anchoring 1 - NYC","lse","GBR",1,233,"Between","control vs. treatment","Independent samples t-test","d",1.37679053282643,131,102,"mean _ SD",3479.19847328244,1607.54901960784,1465.3522281735,1244.52366033661,NA
"ML1","Anchoring 1 - NYC","luc","USA",1,125,"Between","control vs. treatment","Independent samples t-test","d",1.30708979197314,63,62,"mean _ SD",3601.31746031746,1689.87096774194,1445.99515989237,1478.55986073147,NA
"ML1","Anchoring 1 - NYC","mcdaniel","USA",0,83,"Between","control vs. treatment","Independent samples t-test","d",1.29269336329722,45,38,"mean _ SD",3564.08888888889,2032.17105263158,1151.81390191578,1217.39646474871,NA
"ML1","Anchoring 1 - NYC","msvu","CAN",1,45,"Between","control vs. treatment","Independent samples t-test","d",1.60912907533527,19,26,"mean _ SD",3762.60526315789,1524.53846153846,1156.24697692034,1591.24280311382,NA
"ML1","Anchoring 1 - NYC","mturk","USA",0,926,"Between","control vs. treatment","Independent samples t-test","d",1.07421111601272,472,454,"mean _ SD",3366.6281779661,2006.26101321586,1328.3965882761,1201.18082889649,NA
"ML1","Anchoring 1 - NYC","osu","USA",1,92,"Between","control vs. treatment","Independent samples t-test","d",1.54982740608923,43,49,"mean _ SD",3879.20930232558,1691.58163265306,1427.01722814941,1395.87067865566,NA
"ML1","Anchoring 1 - NYC","oxy","USA",1,113,"Between","control vs. treatment","Independent samples t-test","d",0.984015017215033,51,62,"mean _ SD",3241.07843137255,1986.31451612903,1332.26368776061,1215.34925909761,NA
"ML1","Anchoring 1 - NYC","pi","USA",0,1196,"Between","control vs. treatment","Independent samples t-test","d",1.03607169531965,618,578,"mean _ SD",3320.65048543689,2037.45934256055,1274.41665843426,1201.54269611909,NA
"ML1","Anchoring 1 - NYC","psu","USA",1,80,"Between","control vs. treatment","Independent samples t-test","d",1.76859084866549,39,41,"mean _ SD",3629.34615384615,1454.0243902439,1432.35606952986,986.930069402206,NA
"ML1","Anchoring 1 - NYC","qccuny","USA",1,90,"Between","control vs. treatment","Independent samples t-test","d",1.00507346786805,47,43,"mean _ SD",3556.41489361702,2062.03488372093,1440.2260666417,1532.02969321649,NA
"ML1","Anchoring 1 - NYC","qccuny2","USA",1,75,"Between","control vs. treatment","Independent samples t-test","d",1.82159166495849,42,33,"mean _ SD",3745.75,1676.57575757576,1157.7354749156,1113.66813055728,NA
"ML1","Anchoring 1 - NYC","sdsu","USA",1,142,"Between","control vs. treatment","Independent samples t-test","d",0.926667791913267,76,66,"mean _ SD",3599.05263157895,2359.18181818182,1367.94970808859,1307.34075258008,NA
"ML1","Anchoring 1 - NYC","swps","POL",1,50,"Between","control vs. treatment","Independent samples t-test","d",1.43641947471884,19,31,"mean _ SD",3687,1445.17741935484,1496.58995720271,1622.28210939809,NA
"ML1","Anchoring 1 - NYC","swpson","POL",0,110,"Between","control vs. treatment","Independent samples t-test","d",0.817272570921952,50,60,"mean _ SD",2929.97,1569.36666666667,1813.48173246371,1501.48823591757,NA
"ML1","Anchoring 1 - NYC","tamu","USA",1,163,"Between","control vs. treatment","Independent samples t-test","d",1.28492265143266,81,82,"mean _ SD",3762.45061728395,1983.62195121951,1274.47071024832,1486.19395316553,NA
"ML1","Anchoring 1 - NYC","tamuc","USA",1,80,"Between","control vs. treatment","Independent samples t-test","d",1.25237475581388,39,41,"mean _ SD",3574.23076923077,1856.20731707317,1461.7459992751,1275.55406576716,NA
"ML1","Anchoring 1 - NYC","tamuon","USA",0,186,"Between","control vs. treatment","Independent samples t-test","d",1.14943800829758,101,85,"mean _ SD",3367.27227722772,1842.29411764706,1289.67300220783,1362.75306364175,NA
"ML1","Anchoring 1 - NYC","tilburg","NLD",1,67,"Between","control vs. treatment","Independent samples t-test","d",0.974888563464426,25,42,"mean _ SD",3054.42,1624.296875,1631.12564455757,1281.94228179778,NA
"ML1","Anchoring 1 - NYC","ufl","USA",1,115,"Between","control vs. treatment","Independent samples t-test","d",1.41123765982039,65,50,"mean _ SD",3663.51538461538,1896.36,1290.27894564397,1212.93142982998,NA
"ML1","Anchoring 1 - NYC","unipd","ITA",0,99,"Between","control vs. treatment","Independent samples t-test","d",1.14220227953308,47,52,"mean _ SD",3129.8085106383,1508.25961538462,1415.13638363015,1424.18671490972,NA
"ML1","Anchoring 1 - NYC","uva","USA",1,77,"Between","control vs. treatment","Independent samples t-test","d",0.78669957118898,37,40,"mean _ SD",3362.48648648649,2189.875,1588.82130702154,1385.315301285,NA
"ML1","Anchoring 1 - NYC","vcu","USA",1,91,"Between","control vs. treatment","Independent samples t-test","d",1.27505735723838,51,40,"mean _ SD",3652.73529411765,1975.4875,1421.96355914257,1199.46991223313,NA
"ML1","Anchoring 1 - NYC","wisc","USA",1,88,"Between","control vs. treatment","Independent samples t-test","d",1.14967715143876,52,36,"mean _ SD",3747.03846153846,2156.05555555556,1261.53990419021,1496.1982526093,NA
"ML1","Anchoring 1 - NYC","wku","USA",1,84,"Between","control vs. treatment","Independent samples t-test","d",1.18034403357476,37,47,"mean _ SD",3561,1833.41489361702,1491.71803449729,1434.98912024034,NA
"ML1","Anchoring 1 - NYC","wl","USA",1,81,"Between","control vs. treatment","Independent samples t-test","d",0.91784705307744,48,33,"mean _ SD",3323.125,2178.69696969697,1209.61060421517,1283.03106657751,NA
"ML1","Anchoring 1 - NYC","wpi","USA",1,79,"Between","control vs. treatment","Independent samples t-test","d",1.17837853196433,37,42,"mean _ SD",3301.86486486487,1842.85714285714,1251.37732812383,1224.77698460614,NA
"ML1","Anchoring 2 - Chicago","abington","USA",1,75,"Between","control vs. treatment","Independent samples t-test","d",2.86715755786545,36,39,"mean _ SD",3619.91666666667,808.602564102564,1265.93055271042,565.924711138737,NA
"ML1","Anchoring 2 - Chicago","brasilia","BRA",1,58,"Between","control vs. treatment","Independent samples t-test","d",2.34425494008001,28,30,"mean _ SD",4072.21428571429,1561.9,1070.87958333819,1070.79386760317,NA
"ML1","Anchoring 2 - Chicago","charles","CZE",1,65,"Between","control vs. treatment","Independent samples t-test","d",1.56900082776235,38,27,"mean _ SD",4084.65789473684,2600.5,868.631302256782,1017.36412814231,NA
"ML1","Anchoring 2 - Chicago","conncoll","USA",1,78,"Between","control vs. treatment","Independent samples t-test","d",2.04668542946461,39,39,"mean _ SD",3449.41025641026,1380.21794871795,1124.80040844561,882.639722015666,NA
"ML1","Anchoring 2 - Chicago","csun","USA",0,86,"Between","control vs. treatment","Independent samples t-test","d",2.50050995467764,43,43,"mean _ SD",3594.11627906977,967.127906976744,1181.60701627875,900.691923791709,NA
"ML1","Anchoring 2 - Chicago","help","MYS",1,82,"Between","control vs. treatment","Independent samples t-test","d",2.7357394211626,37,45,"mean _ SD",3828.18918918919,979.377777777778,1220.70128609741,823.790395309414,NA
"ML1","Anchoring 2 - Chicago","ithaca","USA",1,80,"Between","control vs. treatment","Independent samples t-test","d",2.7957844949482,35,45,"mean _ SD",3653.61428571429,1097.4,1086.20690590558,701.484745185006,NA
"ML1","Anchoring 2 - Chicago","jmu","USA",0,154,"Between","control vs. treatment","Independent samples t-test","d",2.13599721334055,75,79,"mean _ SD",3434.56,1255.94936708861,1161.59600410674,855.155689809579,NA
"ML1","Anchoring 2 - Chicago","ku","TUR",0,74,"Between","control vs. treatment","Independent samples t-test","d",1.97877459276175,40,34,"mean _ SD",4004.35,1840.61764705882,903.984642199929,1254.65883965386,NA
"ML1","Anchoring 2 - Chicago","laurier","CAN",1,98,"Between","control vs. treatment","Independent samples t-test","d",1.57687048006301,50,48,"mean _ SD",3764.93,1914.16666666667,1138.74141951112,1207.63526326371,NA
"ML1","Anchoring 2 - Chicago","lse","GBR",1,223,"Between","control vs. treatment","Independent samples t-test","d",1.95314576780924,134,89,"mean _ SD",3819.35447761194,1649.42696629213,1134.01366805727,1087.48118466106,NA
"ML1","Anchoring 2 - Chicago","luc","USA",1,122,"Between","control vs. treatment","Independent samples t-test","d",1.69760515833555,61,61,"mean _ SD",3315.89344262295,1546.26229508197,1130.90879795394,945.70479276286,NA
"ML1","Anchoring 2 - Chicago","mcdaniel","USA",0,84,"Between","control vs. treatment","Independent samples t-test","d",1.76678464654554,39,45,"mean _ SD",3350.10256410256,1254.77777777778,1386.39031101163,943.871949108104,NA
"ML1","Anchoring 2 - Chicago","msvu","CAN",1,74,"Between","control vs. treatment","Independent samples t-test","d",1.83909944823101,35,39,"mean _ SD",3076.08571428571,1152.12820512821,1255.54871110857,782.572560264077,NA
"ML1","Anchoring 2 - Chicago","mturk","USA",0,872,"Between","control vs. treatment","Independent samples t-test","d",1.67451539434066,439,433,"mean _ SD",3708.72892938497,1829.94226327945,1048.32673289869,1191.10306559192,NA
"ML1","Anchoring 2 - Chicago","osu","USA",1,94,"Between","control vs. treatment","Independent samples t-test","d",2.460113343146,42,52,"mean _ SD",3896.42857142857,1331.77884615385,1114.16396290534,965.515362807993,NA
"ML1","Anchoring 2 - Chicago","oxy","USA",1,109,"Between","control vs. treatment","Independent samples t-test","d",1.49206514241577,59,50,"mean _ SD",3361.9406779661,1712.3,1201.49589264421,1000.57494696289,NA
"ML1","Anchoring 2 - Chicago","pi","USA",0,1113,"Between","control vs. treatment","Independent samples t-test","d",1.35185688386102,596,517,"mean _ SD",3566.05704697987,1970.42843326886,1124.64019983865,1233.49589648739,NA
"ML1","Anchoring 2 - Chicago","psu","USA",1,85,"Between","control vs. treatment","Independent samples t-test","d",2.26302896364185,40,45,"mean _ SD",3528.1125,1160.27777777778,1224.01853664267,831.45468468027,NA
"ML1","Anchoring 2 - Chicago","qccuny","USA",1,84,"Between","control vs. treatment","Independent samples t-test","d",1.99411693681657,49,35,"mean _ SD",3674.81632653061,1396.35714285714,1100.01510261355,1183.63556078563,NA
"ML1","Anchoring 2 - Chicago","qccuny2","USA",1,68,"Between","control vs. treatment","Independent samples t-test","d",2.11455274562608,31,37,"mean _ SD",3245.58064516129,940.189189189189,1210.09964532385,955.483984046184,NA
"ML1","Anchoring 2 - Chicago","sdsu","USA",1,150,"Between","control vs. treatment","Independent samples t-test","d",2.04978970307907,75,75,"mean _ SD",3565.38666666667,1324.36,1276.51603978165,872.409666043084,NA
"ML1","Anchoring 2 - Chicago","swps","POL",1,62,"Between","control vs. treatment","Independent samples t-test","d",3.28528571763108,38,24,"mean _ SD",3860.75,640.104166666667,1153.63686819061,768.891367053702,NA
"ML1","Anchoring 2 - Chicago","swpson","POL",0,126,"Between","control vs. treatment","Independent samples t-test","d",1.80039395797078,70,56,"mean _ SD",3971.32142857143,1843.71428571429,1023.82375080996,1320.91973762479,NA
"ML1","Anchoring 2 - Chicago","tamu","USA",1,161,"Between","control vs. treatment","Independent samples t-test","d",2.15150082397781,73,88,"mean _ SD",3977.43835616438,1644.55681818182,1055.77155483957,1112.10518354305,NA
"ML1","Anchoring 2 - Chicago","tamuc","USA",1,72,"Between","control vs. treatment","Independent samples t-test","d",2.47335201637316,37,35,"mean _ SD",3964.58108108108,1255.11428571429,1088.66304674787,1102.2219476352,NA
"ML1","Anchoring 2 - Chicago","tamuon","USA",0,198,"Between","control vs. treatment","Independent samples t-test","d",1.60924712040624,103,95,"mean _ SD",3636.54368932039,1721.88947368421,1074.95201923656,1294.46645580608,NA
"ML1","Anchoring 2 - Chicago","tilburg","NLD",1,43,"Between","control vs. treatment","Independent samples t-test","d",1.48850117211317,22,21,"mean _ SD",3328.54545454545,1808.04761904762,1142.44932063372,884.147766280641,NA
"ML1","Anchoring 2 - Chicago","ufl","USA",1,118,"Between","control vs. treatment","Independent samples t-test","d",2.55047871057147,52,66,"mean _ SD",3570.125,1134.33333333333,1105.46001371002,775.973400284261,NA
"ML1","Anchoring 2 - Chicago","unipd","ITA",0,77,"Between","control vs. treatment","Independent samples t-test","d",1.38645529880658,37,40,"mean _ SD",3378.21621621622,1777.3625,1053.56591274941,1247.5479282068,NA
"ML1","Anchoring 2 - Chicago","uva","USA",1,75,"Between","control vs. treatment","Independent samples t-test","d",2.1514373104631,42,33,"mean _ SD",3570.9880952381,1407.80303030303,1118.34396563158,878.184543705382,NA
"ML1","Anchoring 2 - Chicago","vcu","USA",1,100,"Between","control vs. treatment","Independent samples t-test","d",2.0153103447827,50,50,"mean _ SD",3465.4,1181.24,1377.26415440917,819.970054455699,NA
"ML1","Anchoring 2 - Chicago","wisc","USA",1,88,"Between","control vs. treatment","Independent samples t-test","d",1.95995258194243,38,50,"mean _ SD",3627.89473684211,1611.05,1100.18809913808,952.565254339833,NA
"ML1","Anchoring 2 - Chicago","wku","USA",1,86,"Between","control vs. treatment","Independent samples t-test","d",2.51027524613421,38,48,"mean _ SD",3596.81578947368,1054.01041666667,1244.79702253481,708.979116890658,NA
"ML1","Anchoring 2 - Chicago","wl","USA",1,73,"Between","control vs. treatment","Independent samples t-test","d",1.35409191136436,42,31,"mean _ SD",3415.29761904762,1925.96774193548,1036.01936993101,1160.21873609738,NA
"ML1","Anchoring 2 - Chicago","wpi","USA",1,77,"Between","control vs. treatment","Independent samples t-test","d",1.69100710203237,35,42,"mean _ SD",3595.32857142857,1631.20238095238,1191.20175319159,1131.0445585426,NA
"ML1","Anchoring 3 - Everest","abington","USA",1,73,"Between","control vs. treatment","Independent samples t-test","d",2.5292383891175,38,35,"mean _ SD",4081.56578947368,1280.42857142857,1133.19836274968,1081.19561504068,NA
"ML1","Anchoring 3 - Everest","brasilia","BRA",1,76,"Between","control vs. treatment","Independent samples t-test","d",2.48631274852068,32,44,"mean _ SD",3913.1875,1287.39772727273,1104.46750963472,1005.40401794355,NA
"ML1","Anchoring 3 - Everest","charles","CZE",1,83,"Between","control vs. treatment","Independent samples t-test","d",0.785764163461964,40,43,"mean _ SD",3218,2697.39534883721,667.359089131297,657.697042339147,NA
"ML1","Anchoring 3 - Everest","conncoll","USA",1,84,"Between","control vs. treatment","Independent samples t-test","d",2.0266636895997,47,37,"mean _ SD",4206.1170212766,1920.91891891892,871.279407917173,1335.5465772147,NA
"ML1","Anchoring 3 - Everest","csun","USA",0,88,"Between","control vs. treatment","Independent samples t-test","d",1.98546114105827,59,29,"mean _ SD",3962.3813559322,1591.01724137931,1059.30317995378,1315.6327136371,NA
"ML1","Anchoring 3 - Everest","help","MYS",1,65,"Between","control vs. treatment","Independent samples t-test","d",2.6272528042487,29,36,"mean _ SD",4318.29310344828,1339.23611111111,1113.09647346331,1154.33990714614,NA
"ML1","Anchoring 3 - Everest","ithaca","USA",1,83,"Between","control vs. treatment","Independent samples t-test","d",3.62492916700316,43,40,"mean _ SD",4260.88372093023,1148.8125,878.772600720062,837.776274274451,NA
"ML1","Anchoring 3 - Everest","jmu","USA",0,161,"Between","control vs. treatment","Independent samples t-test","d",2.53794141116233,70,91,"mean _ SD",4066.09285714286,1443.98351648352,1144.18058868059,908.683606624163,NA
"ML1","Anchoring 3 - Everest","ku","TUR",0,75,"Between","control vs. treatment","Independent samples t-test","d",1.76894716848797,39,36,"mean _ SD",3551.70512820513,1869.01388888889,937.277697980115,964.998005076481,NA
"ML1","Anchoring 3 - Everest","laurier","CAN",1,85,"Between","control vs. treatment","Independent samples t-test","d",2.89759047169412,37,48,"mean _ SD",3979.66216216216,989.364583333333,1192.07082921354,842.017010615451,NA
"ML1","Anchoring 3 - Everest","lse","GBR",1,260,"Between","control vs. treatment","Independent samples t-test","d",2.74054449653301,133,127,"mean _ SD",3954.78195488722,1219.74409448819,1126.15025935334,850.738726296856,NA
"ML1","Anchoring 3 - Everest","luc","USA",1,136,"Between","control vs. treatment","Independent samples t-test","d",2.53066959758149,67,69,"mean _ SD",4163.71641791045,1352.31884057971,1217.13388877774,993.437181511947,NA
"ML1","Anchoring 3 - Everest","mcdaniel","USA",0,88,"Between","control vs. treatment","Independent samples t-test","d",2.22540558233098,48,40,"mean _ SD",4202.19791666667,1707.35,1015.04159195563,1217.91280686599,NA
"ML1","Anchoring 3 - Everest","msvu","CAN",1,49,"Between","control vs. treatment","Independent samples t-test","d",4.1420763748213,18,31,"mean _ SD",4182.47222222222,928.822580645161,997.37939669301,489.174552152009,NA
"ML1","Anchoring 3 - Everest","mturk","USA",0,941,"Between","control vs. treatment","Independent samples t-test","d",2.33343622641657,452,489,"mean _ SD",4061.0453539823,1619.35173824131,1039.11382627089,1053.62382808508,NA
"ML1","Anchoring 3 - Everest","osu","USA",1,93,"Between","control vs. treatment","Independent samples t-test","d",2.55277738788236,47,46,"mean _ SD",4195.65957446809,1244.21739130435,1161.33602366068,1150.97886191698,NA
"ML1","Anchoring 3 - Everest","oxy","USA",1,107,"Between","control vs. treatment","Independent samples t-test","d",2.11557461899142,62,45,"mean _ SD",3980.52419354839,1682.18888888889,1083.66526434263,1089.10433013518,NA
"ML1","Anchoring 3 - Everest","pi","USA",0,1204,"Between","control vs. treatment","Independent samples t-test","d",1.96694843419162,610,594,"mean _ SD",3992.46557377049,1798.72811447811,1112.72700957048,1117.8669369696,NA
"ML1","Anchoring 3 - Everest","psu","USA",1,87,"Between","control vs. treatment","Independent samples t-test","d",3.60003401995539,43,44,"mean _ SD",4533.56976744186,1268.07954545455,942.064782560319,870.674070217223,NA
"ML1","Anchoring 3 - Everest","qccuny","USA",1,93,"Between","control vs. treatment","Independent samples t-test","d",3.24106709658002,46,47,"mean _ SD",4118.67391304348,925.787234042553,1175.54891300188,747.706033439736,NA
"ML1","Anchoring 3 - Everest","qccuny2","USA",1,77,"Between","control vs. treatment","Independent samples t-test","d",2.69024250166197,38,39,"mean _ SD",4044.81578947368,1233.05128205128,1189.27412804443,877.72064848369,NA
"ML1","Anchoring 3 - Everest","sdsu","USA",1,149,"Between","control vs. treatment","Independent samples t-test","d",2.85622810898187,77,72,"mean _ SD",4323.73376623377,1540.74305555556,879.907099553606,1060.43069244162,NA
"ML1","Anchoring 3 - Everest","swps","POL",1,54,"Between","control vs. treatment","Independent samples t-test","d",1.95232420041306,18,36,"mean _ SD",3943.38888888889,1817.5,1079.86463688137,1097.86412117868,NA
