Study number,Study code,Study reference,Experiment number,Study short name,Retrieved from,Document Type,On money priming?,Empirical?,Random Assignment,Neutral Comparison?,Eligible?,Why not?,Able to compute effect size?,Included?,Notes,dep,prime,prime (extra notes).,year ,jrnl,published,replication,Preregistered,Prime Type (coder 1),Prime Type (coder 2),Prime Type (coder agreement),Prime Type (final code),Setting (coder 1),Setting (coder 2),Setting (code agreement),Setting (final code),Behavioral vs non-behavioral (coder 1),Behavioral vs non-behavioral (coder 2),Behavioral vs non-behavioral (code agreement),Behavioral vs. Non-behavioral,Problems?,Multiple DV?,Interaction?,Notes ,2nd factor,Simple main effect,Interaction Identification (1=Largest predicted effect),Notes,Contact Author?,Information to seek,Aggregated across DVs?,d,var of d,g,var of g,Notes.,Notes:    1st DV,Effect size (D) (Reported),significance,n1,n2,N,m1 ,m2,sd1,sd2,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,percent1,percent2,Odds ratio,A,B,C,D,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 2nd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 3rd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,Notes,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g
10,10,"Bar-Anan, Y. (2009). Post-priming confabulation: Self-attribution of goal pursuit to the wrong reasons. Dissertation Abstracts International: Section B: The Sciences and Engineering. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-99240-326&site=ehost-live",,,,Dissertation,,,,,0,Dissertation. Likely to be published as study no. 9. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11,11,"Berger, R. (2007). Review of Trauma and visuality in modernity. Learning, Media and Technology, 32(2), 202–203. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-11422-008&site=ehost-live",,,PsycINFO,Journal,,0,,,0,This is a book review. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,12,"Birren, J. E., & Cochran, K. N. (2001). Telling the stories of life through guided autobiography groups. Baltimore, MD, US: Johns Hopkins University Press. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-01465-000&site=ehost-live",,,,Book / Book Chapter,,,,,0,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
13,13,"Blumenthal, J. A. (2010). Property law: A cognitive turn. Psychonomic Bulletin & Review, 17(2), 186–191. doi:10.3758/PBR.17.2.186",,,PsycINFO,Journal,,0,,,0,This is not an emprirical paper. ,,,,,,,,,,,,,,3 vs. 3 or 4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
14,14,"Bonini, N., Biel, A., Gärling, T., & Karlsson, N. (2002). Influencing what the money is perceived to be worth: Framing and priming in contingent valuation studies. Journal of Economic Psychology, 23(5), 655–663. doi:10.1016/S0167-4870(02)00122-8",,,PsycINFO,Journal,0,,,,0,Not about money priming. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,15a,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",1,"Boucher, H. C., & Kofos, M. N. (2012), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Difference in response time between congruent and incongruent trials on Stroop Task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,,Ego depletion (Depleted vs. Not depleted),Ego-depletion = Depleted,1,,,,0,0.67,0.16,0.65,0.15,,,,1,13.25,13.25,26.5,15.52,20.94,7.44,8.68,1,0.670475845,0.159425243,0.649739479,0.149716383,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,15a,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",1,"Boucher, H. C., & Kofos, M. N. (2012), Study 1",PsycINFO,Journal,1,1,1,1,1,,1,1,,Difference in response time between congruent and incongruent trials on Stroop Task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,,Ego depletion (Depleted vs. Not depleted),Ego-depletion = Not Depleted,0,,,,0,-0.429,0.15,-0.416,0.145,,,,0,13.25,13.25,26.5,17.94,15.76,4.7,5.43,-1,-0.429291505,0.154420589,-0.416014448,0.145016508,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,15b,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",2,"Boucher, H. C., & Kofos, M. N. (2012), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Number of correct responses in a timed anagram task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,"We decided to use only the main dependent variable as the 4 mediating variables are ""exploratory""",Ego depletion (Depleted vs. Not depleted),Ego-depletion = Depleted,1,,,,0,1.131,0.23,1.085,0.208,,,,1,10.25,10.25,20.5,6.7,4.1,2.83,1.6,1,1.131028247,0.226322558,1.084547634,0.208102934,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
15,15b,"Boucher, H. C., & Kofos, M. N. (2012). The idea of money counteracts ego depletion effects. Journal of Experimental Social Psychology, 48(4), 804–810. doi:10.1016/j.jesp.2012.02.003",2,"Boucher, H. C., & Kofos, M. N. (2012), Study 2",PsycINFO,Journal,1,1,1,1,1,,1,1,,Number of correct responses in a timed anagram task,Sentence descrambling,,2012,Journal of Experimental Social Psychology,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,"We decided to use only the main dependent variable as the 4 mediating variables are ""exploratory""",Ego depletion (Depleted vs. Not depleted),Ego-depletion = Not Depleted,0,,,,0,-0.549,0.2,-0.527,0.186,,,,0,10.25,10.25,20.5,5,6.5,2.65,2.81,-1,-0.549214788,0.202478948,-0.526644317,0.186178804,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16,16,"Bratanova, B., Loughnan, S., Klein, O., & Wood, R. (2016). The rich get richer, the poor get even: Perceived socioeconomic position influences micro‐social distributions of wealth. Scandinavian Journal of Psychology. doi:10.1111/sjop.12281",,,PsycINFO,Journal,0,,,,0,This is about priming wealth positions rather than money per se. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
17,17,"Breeze, B., & Dean, J. (2012). Pictures of me: User views on their representation in homelessness fundraising appeals. International Journal of Nonprofit and Voluntary Sector Marketing, 17(2), 132–143. doi:10.1002/nvsm.1417",,,PsycINFO,Journal,0,1,0,0,0,Not about money priming. Focus group study. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
18,18,"Bruno, M. (2007). Save now or die trying: Achieving long-term wealth in your 20s and 30s. Hoboken, NJ, US: John Wiley & Sons Inc. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-14800-000&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
19,19,"Burgoyne, C., & Kirchler, E. (2008). Financial decisions in the household. In A. Lewis & A. (Ed) Lewis (Eds.), The Cambridge handbook of psychology and economic behaviour. (pp. 132–154). New York, NY, US: Cambridge University Press. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-14740-006&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
20,20,"Campbell-Meiklejohn, D., & Frith, C. D. (2012). Social factors and preference change. In R. J. Dolan, T. Sharot, R. J. (Ed) Dolan, & T. (Ed) Sharot (Eds.), Neuroscience of preference and choice: Cognitive and neural mechanisms. (pp. 177–206). San Diego, CA, US: Elsevier Academic Press. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-29913-008&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
21,21,"Capa, R. L., & Custers, R. (2014). Conscious and unconscious influences of money: Two sides of the same coin? In E. Bijleveld, H. Aarts, E. (Ed) Bijleveld, & H. (Ed) Aarts (Eds.), The psychological science of money. (pp. 73–91). Capa, Rémi L., INSERM Ul 114, Department of Psychiatry, University of Strasbourg, CHR Hopital Civil, 1 place de I’Hopital, 67091, Strasbourg, France, Cedex: Springer Science + Business Media. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-24563-004&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,22a,"Capaldi, C. A., & Zelenski, J. M. (2016). Seeing and being green? The effect of money priming on willingness to perform sustainable actions, social connectedness, and prosociality. The Journal of Social Psychology, 156(1), 1–7. doi:10.1080/00224545.2015.1047438",Canandian Sample,"Capaldi, C. A., & Zelenski, J. M. (2016), Study Canandian Sample",PsycINFO,Journal,1,1,1,1,1,,1,1,,DV1: Sustainable Willingness. DV2: Social Value Orientation. DV3: Social Connectedness,Sentence descrambling,,2016,The Journal of Social Psychology,1,0,1,2,2,1,2,2,2,1,2,2,2,1,2,0,1,0,Address multiple DVs using raw data from OSF. ,,,,,,,1,0.062,0.01,0.062,0.008,,DV: Sustainable Willingness,0.24,0,89,101,190,5.09,4.89,0.778,0.915,-1,-0.237812405,0.021285773,-0.236862422,0.021116054,,,,,,,,,,,,,,,,DV: Social Value Orientation,,,87,85,172,24.07,26.5,15.02,12.94,1,0.17319008,0.023346153,0.172424881,0.02314031,,,,,,,,,DV: Social Connectedness,,,95,103,198,3.668,3.927,1.073,0.995,1,0.250691264,0.020393756,0.249730761,0.020237781,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23,23,"Carnall, C. (2006). Review of The Global Public Management Revolution. Journal of Change Management, 6(1), 116. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-05852-010&site=ehost-live",,,PsycINFO,Journal,,0,,,0,This is a book review. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
24,24,"Cashman, O., & Twaite, J. A. (2009). Toxic wealth: How the culture of affluence can harm us and our children. Santa Barbara, CA, US: Praeger/ABC-CLIO. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-11057-000&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
